Frame,Timestamp,Event
5914,1744588348.0636237,Start Get Vehicle Position (on manual_control.py Side)
5914,1744588348.0636942,End Get Vehicle Position (on manual_control.py Side)
5914,1744588348.0636292,Start Get Vehicle Position (on record.py Side)
5914,1744588348.063691,End Get Vehicle Position (on record.py Side)
5916,1744588348.1127417,Start of Saving Image: frame_5916.png
5916,1744588348.1140146,End of Saving Image: frame_5916.png
5914,1744588348.0763593,Start of Saving Image: frame_5914.png
5914,1744588348.1258104,End of Saving Image: frame_5914.png
5916,1744588348.13475,Start of Saving Image: frame_5916.png
5916,1744588348.1370747,End of Saving Image: frame_5916.png
5918,1744588348.1473253,Start of Saving Image: frame_5918.png
5918,1744588348.1493273,End of Saving Image: frame_5918.png
5914,1744588348.0481715,Start of Frame 5914
5914,1744588348.1740346,End of Frame 5914
5920,1744588348.1741557,Start Get Vehicle Position (on manual_control.py Side)
5920,1744588348.1741762,End Get Vehicle Position (on manual_control.py Side)
5920,1744588348.1741574,Start Get Vehicle Position (on record.py Side)
5920,1744588348.1741753,End Get Vehicle Position (on record.py Side)
5919,1744588348.1639705,Start of Saving Image: frame_5919.png
5919,1744588348.1803627,End of Saving Image: frame_5919.png
5920,1744588348.174047,Start of Frame 5920
5920,1744588348.181193,End of Frame 5920
5921,1744588348.1899967,Start Get Vehicle Position (on manual_control.py Side)
5921,1744588348.19001,End Get Vehicle Position (on manual_control.py Side)
5921,1744588348.189998,Start Get Vehicle Position (on record.py Side)
5921,1744588348.190009,End Get Vehicle Position (on record.py Side)
5921,1744588348.1811993,Start of Frame 5921
5921,1744588348.1953874,End of Frame 5921
5922,1744588348.2055287,Start Get Vehicle Position (on manual_control.py Side)
5922,1744588348.2055516,End Get Vehicle Position (on manual_control.py Side)
5922,1744588348.2055306,Start Get Vehicle Position (on record.py Side)
5922,1744588348.2055502,End Get Vehicle Position (on record.py Side)
5920,1744588348.189816,Start of Saving Image: frame_5920.png
5920,1744588348.2172177,End of Saving Image: frame_5920.png
5922,1744588348.1953964,Start of Frame 5922
5922,1744588348.2351165,End of Frame 5922
5923,1744588348.2352293,Start Get Vehicle Position (on manual_control.py Side)
5923,1744588348.2352483,End Get Vehicle Position (on manual_control.py Side)
5923,1744588348.2352307,Start Get Vehicle Position (on record.py Side)
5923,1744588348.2352471,End Get Vehicle Position (on record.py Side)
5923,1744588348.2351303,Start of Frame 5923
5923,1744588348.2428424,End of Frame 5923
5924,1744588348.2506194,Start Get Vehicle Position (on manual_control.py Side)
5924,1744588348.2506373,End Get Vehicle Position (on manual_control.py Side)
5924,1744588348.2506208,Start Get Vehicle Position (on record.py Side)
5924,1744588348.2506363,End Get Vehicle Position (on record.py Side)
5921,1744588348.2175055,Start of Saving Image: frame_5921.png
5921,1744588348.252681,End of Saving Image: frame_5921.png
5924,1744588348.242864,Start of Frame 5924
